1;1;10;77;31;615,873;0;3;11;57;3;445
1;2;8;65;31;533,691;0;6;7;50;9;567
1;3;9;84;51;187,234;0;9;5;68;0;510
1;4;4;69;47;1281,038;4;7;3;79;2;472
1;5;10;113;32;171,547;0;10;1;61;3;623
1;6;5;75;29;157,224;4;7;1;81;4;597
1;7;7;63;22;28,683;0;7;7;48;4;574
1;8;7;60;16;149,646;1;12;7;48;4;679
1;9;4;53;32;202,229;0;12;6;57;4;497
1;10;6;86;29;849,3;0;17;5;58;6;560
1;11;2;65;21;88,09;0;22;5;57;2;588
1;12;4;76;24;244,06;0;11;0;53;4;543
2;1;10;63;29;1562,451;6;0;5;73;9;434
2;2;8;53;29;143,89;4;9;9;86;3;460
2;3;12;60;38;29;0;4;11;70;7;530
2;4;15;60;42;191,807;7;7;10;76;9;477
2;5;13;88;58;1411,575;0;10;8;69;7;563
2;6;18;90;37;290,197;0;5;1;59;2;545
2;7;15;71;31;134,531;0;6;4;51;7;571
2;8;8;57;20;126,01;5;6;4;54;5;583
2;9;8;41;29;51,672;4;1;4;63;4;540
2;10;15;45;23;140,49;2;2;6;54;4;515
2;11;13;36;20;64,64;0;7;7;50;7;650
2;12;18;38;21;166,95;5;1;0;62;9;606
3;1;20;88;11;171,93925;4;0;2;86;6;505
3;2;7;44;9;272,282;1;1;11;84;8;544
3;3;13;67;26;1281,131;0;4;12;104;16;639
3;4;6;56;24;7158,522;0;10;6;102;10;549
3;5;21;115;20;1372,830667;4;8;6;85;9;682
3;6;14;60;18;53,291;0;7;1;94;5;613
3;7;14;56;9;167,607;1;4;3;77;9;740
3;8;5;39;15;918,361;2;6;3;69;10;640
3;9;13;57;18;577,138;3;4;4;91;13;541
3;10;15;51;25;1324,95;5;13;9;108;12;595
3;11;13;44;15;138,99;3;22;6;99;15;570
3;12;8;45;16;1907,6;19;9;0;49;13;599
4;1;15;61;27;1722,089;0;6;11;75;14;573
4;2;15;70;20;266,6;1;17;14;88;21;521
4;3;14;64;66;1421,032;0;6;8;77;14;693
4;4;21;85;97;145,0253333;0;19;12;86;15;602
4;5;17;91;76;117,855;7;16;7;89;12;707
4;6;14;62;49;999,695;22;7;1;73;17;824
4;7;24;81;43;5990,307;0;26;4;41;11;901
4;8;18;53;21;157,854;0;16;4;74;22;850
4;9;16;56;19;59,651;0;22;1;67;15;767
4;10;15;68;36;365,4;0;10;2;69;14;740
4;11;10;64;27;1659,72;7;21;19;82;14;708
4;12;17;55;27;1507,67;0;13;0;43;17;728
5;1;12;72;32;794,098;12;15;9;71;17;269
5;2;18;62;23;413,711;22;17;11;107;11;257
5;3;12;62;32;81,062;11;11;13;120;8;328
5;4;4;62;33;50,022;8;16;9;102;9;261
5;5;17;81;51;619,524;20;11;6;79;11;316
5;6;12;64;35;219,355;17;6;0;95;8;332
5;7;10;74;71;250,297;0;9;3;52;10;289
5;8;15;55;26;373,63;7;16;1;59;10;365
5;9;8;42;46;54,679;11;14;6;83;8;301
5;10;6;69;58;36,07;8;18;4;82;12;300
5;11;12;38;47;24,39;18;16;7;77;13;332
5;12;9;46;53;28,96;8;12;0;72;9;328
6;1;10;51;24;5,235;0;2;15;94;22;527
6;2;18;54;35;528,431;0;22;25;133;33;497
6;3;16;64;31;2415,764;11;41;26;137;29;620
6;4;22;80;41;27,78;23;23;23;123;33;516
6;5;20;113;73;533,146;10;14;25;129;34;592
6;6;16;62;30;272,125;3;6;20;119;22;644
6;7;19;89;23;1576,554;14;9;9;76;24;726
6;8;23;59;25;389,98;8;5;11;81;25;690
6;9;13;62;27;408,996;3;6;23;69;22;628
6;10;15;71;35;223,36;18;7;20;111;42;687
6;11;22;71;33;333,48;12;10;23;103;34;643
6;12;18;58;29;66,72;5;8;21;74;27;562
7;1;19;87;48;362,148;46;30;12;77;6;407
7;2;8;49;33;313,274;8;13;7;81;10;576
7;3;20;80;42;576,2935;6;26;9;120;21;436
7;4;16;71;39;1855,066;14;19;13;106;11;391
